Name,Total cases
Lagos,99131
Federal Capital Territory,28597
"Portharcourt, Rivers State",16632
"Kaduna, Kaduna State",11236
"Bokkos, Plateau State",10250
"Ibadan, Oyo State",10218
"Auchi, Edo State",7694
"Abeokuta, Ogun State",5810
Delta State,5369
Ondo State,5173
Kano,4981
"Uyo, Akwa Ibom State",4657
"Ilorin, Kwara State",4601
"Osogbo, Osun State",3311
Gombe,3307
Enugu State,2952
"Awka, Anambra State",2825
"Lafia, Nasarawa State",2720
"Owerri, Imo State",2560
Katsina State,2418
"Umuahia, Abia State",2168
"Makurdi, Benue State",2129
"Abakaliki, Ebonyi State",2064
"Ado Ekiti, Ekiti State",2004
Bauchi State,1939
"Maiduguri, Borno State",1629
Taraba State,1473
"Yenegoa, Bayelsa State",1315
"Yola, Adamawa State",1203
"Minna, Niger State",1148
"Calabar, Cross River State",827
Sokoto State,817
Jigawa State,669
"Damaturu, Yobe State",609
"Birnin Kebbi, Kebbi State",480
"Gusau, Zamfara State",375
"Lokoja, Kogi State",5
